antecedent_symbol,interval_label,count
AAPL,cruce,1.0
AMZN,cruce,2.0
BA,cruce,1.0
CLX,cruce,1.0
CPB,cruce,1.0
DIS,cruce,2.0
EEM,cruce,6.0
HYG,cruce,1.0
INTC,cruce,3.0
IYR,cruce,13.0
JPM,cruce,4.0
KO,cruce,2.0
MU,cruce,1.0
SAP,cruce,3.0
WMT,cruce,1.0
XLE,cruce,2.0
XLF,cruce,2.0
XLK,cruce,2.0
AMZN,negativo,2.0
BA,negativo,3.0
CLX,negativo,2.0
CPB,negativo,2.0
DIS,negativo,5.0
EEM,negativo,6.0
EFX,negativo,1.0
EWP,negativo,1.0
GOOGL,negativo,2.0
INTC,negativo,5.0
IYR,negativo,24.0
JPM,negativo,5.0
KO,negativo,1.0
MSFT,negativo,1.0
NVDA,negativo,3.0
SAP,negativo,10.0
TLT,negativo,3.0
UUP,negativo,1.0
WMT,negativo,1.0
XLE,negativo,7.0
XLK,negativo,3.0
XLV,negativo,1.0
XOM,negativo,2.0
AAPL,positivo,6.0
AMZN,positivo,4.0
BA,positivo,10.0
CLX,positivo,7.0
CPB,positivo,2.0
DIS,positivo,12.0
EEM,positivo,22.0
EFX,positivo,4.0
EWP,positivo,1.0
GLD,positivo,3.0
GOOGL,positivo,4.0
HYG,positivo,3.0
INTC,positivo,8.0
IWM,positivo,6.0
IYR,positivo,32.0
JPM,positivo,27.999999999999996
KO,positivo,5.0
MSFT,positivo,3.0
MU,positivo,2.0
NVDA,positivo,8.0
SAP,positivo,15.000000000000002
SHY,positivo,2.0
TLT,positivo,5.0
UUP,positivo,3.0
WMT,positivo,4.0
XLE,positivo,15.0
XLF,positivo,5.0
XLK,positivo,5.0
XLV,positivo,1.0
XOM,positivo,4.0
