antecedent_symbol,interval_label,count
EEM,cruce,1.0
EFX,cruce,1.0
GLD,cruce,1.0
INTC,cruce,1.0
IWM,cruce,1.0
IYR,cruce,5.0
MSFT,cruce,1.0
NVDA,cruce,3.0
SPY,cruce,4.0
UUP,cruce,1.0
XLF,cruce,1.0
XLV,cruce,1.0
EEM,negativo,1.0
INTC,negativo,1.0
IYR,negativo,2.0
NVDA,negativo,1.0
SPY,negativo,2.0
XLV,negativo,1.0
EFX,positivo,1.0
GLD,positivo,1.0
INTC,positivo,1.0
IWM,positivo,1.0
IYR,positivo,5.0
MSFT,positivo,1.0
NVDA,positivo,2.0
SPY,positivo,4.0
UUP,positivo,1.0
XLF,positivo,2.0
