antecedent_symbol,interval_label,count
AMZN,cruce,1.0
BA,cruce,1.0
GOOGL,cruce,1.0
IYR,cruce,1.0
SPY,cruce,1.0
UUP,cruce,1.0
BA,negativo,2.0
EEM,negativo,1.0
HYG,negativo,2.0
IYR,negativo,2.0
KO,negativo,1.0
SAP,negativo,1.0
SPY,negativo,2.0
XLK,negativo,2.0
AAPL,positivo,1.0
AMZN,positivo,3.0
BA,positivo,2.0
CLX,positivo,1.0
EFX,positivo,1.0
GOOGL,positivo,2.0
IYR,positivo,5.0
JPM,positivo,1.0
KO,positivo,2.0
MU,positivo,2.0
NVDA,positivo,1.0
SPY,positivo,2.0
TLT,positivo,2.0
UUP,positivo,2.0
XLE,positivo,1.0
XLF,positivo,1.0
XLK,positivo,1.0
